Postotak popunjenosti stranice,Razina stranice prikaza,Vrijeme reakcije operatera
68,10,69.26425453150706
58,4,40.36246694982806
48,10,74.74551450948897
65,2,30.520270459163985
45,2,13.424785215891891
49,8,54.22914009943405
32,10,67.5601189024883
60,9,74.9057982464262
45,10,75.538075566287
33,5,45.27417245266081
47,1,12.904459865506729
43,10,55.85998760928076
43,0,20.0
35,3,14.692825719144311
58,4,34.91173251949846
44,5,32.22294061468119
52,2,18.733421528693462
46,10,66.15631785560427
38,3,30.851801732007857
63,6,45.149693070861304
50,5,40.058321599913256
65,10,62.85185446665069
19,5,44.20124821918225
53,7,59.83074055251178
53,4,37.971309414892744
62,3,25.381619796685605
47,9,55.92523396160929
47,8,59.65802352933333
50,7,54.31391759521033
60,1,18.34846862904004
51,3,18.36729591654384
51,9,60.066306078824304
45,10,84.73661256022636
59,6,58.47370677583518
59,0,14.0
69,9,60.04987821355248
31,4,32.806614865669005
31,0,11.0
55,10,76.73682975124271
63,10,85.57335837969758
45,6,46.80363866161072
48,7,43.89571210811922
44,4,33.15459967940808
44,0,11.0
44,0,5.0
44,0,5.0
41,6,36.51868098190436
43,5,34.3069148005484
67,1,16.264277879331722
65,1,10.04059580954915
38,2,11.351801732007859
34,6,39.216412786646046
34,0,14.0
51,6,34.450307210339204
49,9,68.11843930892934
28,7,52.610218649680924
50,5,42.04533567717685
53,5,44.653179896899815
37,3,26.99592513086371
64,1,12.917471108468654
52,3,20.628966546621108
40,6,40.14632544531156
40,0,14.0
40,0,5.0
52,9,54.55641176212728
66,5,47.987897424903544
49,10,68.50474195710544
64,3,39.14023667339703
58,2,20.02187669378184
35,9,52.033865782866386
44,5,39.267233514906636
49,7,48.30585293773624
44,5,35.22968242072495
64,3,29.492685892576763
51,4,30.37004166242733
41,3,27.79522067504073
44,7,50.9726653745574
54,2,24.079002561799232
54,5,28.92447770005048
56,9,71.80744998246242
50,1,19.5
52,5,36.571233086111775
51,1,13.69983349983152
54,1,8.289501280899616
44,5,31.736829862384084
57,5,41.50630921319289
59,9,62.312450767474154
42,8,65.65538126862435
61,9,79.9131620804341
53,9,69.86584974003637
37,10,75.47169831683567
58,6,59.81311920576783
51,3,29.676930801731167
54,4,30.667847909014277
53,1,12.595540134493273
55,10,59.608457454281506
56,9,71.90850046293414
39,6,55.290048862610156
41,3,29.01825023835548
49,2,15.320491850553644
59,1,10.687596021000031
57,1,8.84550217734533
63,10,73.24897838566382
33,1,18.235722120668278
49,3,15.779896041004495
55,1,11.479674649614836
31,6,34.73924667039221
49,3,28.519795849020902
59,1,12.187596021000031
50,4,23.364996541755055
43,5,33.84356388555079
58,3,30.22676823838917
73,6,46.4441593359212
49,5,38.994127646574825
49,4,33.05753546576083
51,10,64.93750901000195
64,8,67.30663683383612
64,0,17.0
51,10,62.893158599303476
48,5,44.966485802843835
65,5,43.334336911508885
43,6,38.22530827276357
45,6,45.36495654650312
63,10,72.54197980348047
58,7,62.82384632062517
50,2,22.30016650016848
69,2,19.304634382441346
66,4,32.59057346139221
58,6,46.469012436640384
39,9,61.451556074676716
49,5,46.874197020836846
43,2,17.364996541755055
63,4,30.840931428879003
49,7,58.597484994967296
39,9,66.8899787913465
42,6,50.24100137729371
54,1,15.789501280899616
56,3,21.853423709205803
60,6,43.43086438443051
52,9,67.8916018709428
50,9,69.15340891659964
44,7,50.95924086827214
53,3,26.430182153528694
39,3,22.45267088594504
62,8,58.651834411350606
55,3,34.68552090897035
55,6,37.266489955567074
48,6,44.891869201739674
59,7,57.970258610264786
59,0,15.5
58,6,35.53939775300789
43,1,13.65449782265467
57,5,34.61467810785978
61,6,47.49652491792382
55,7,49.70263710143507
49,10,69.59102710523304
49,0,20.0
49,0,5.0
58,3,22.98052746431027
61,3,25.100586323092287
52,3,22.532844450769332
49,6,47.08034518016275
35,7,53.47619823065081
40,1,14.651531370959962
61,5,33.827831080957225
60,8,58.26609406611666
56,8,64.53666374433158
38,9,69.28778554793695
67,9,70.66464336433688
53,1,20.095540134493273
60,5,33.289864846063026
45,6,47.02505947951689
56,6,47.384747464380496
49,3,27.340287699574542
50,8,59.07920005692904
74,8,71.20851407336161
57,1,19.34550217734533
44,10,73.09570022157098
54,4,43.284073728352624
40,5,30.81233487691334
42,9,56.934488121647966
41,8,64.7328712525602
61,6,54.208814839127484
41,7,53.07192926737722
62,2,24.648198267992143
48,7,50.426312855053105
57,10,82.20205439241232
42,7,54.52470884218051
42,0,15.5
59,3,19.877769389715255
57,9,59.52199508481997
68,8,66.08612943773427
33,7,53.25632474169591
49,7,55.90953225907829
50,4,32.41285539835722
39,9,56.802695835142934
73,2,31.3116121214303
50,10,70.04885675321617
51,5,50.313160609330694
54,10,64.87407355392341
51,6,53.841722881262925
64,1,17.417471108468654
60,3,24.164611716008515
34,6,41.278086299017225
64,10,78.19580635408074
55,9,69.36151122584181
45,2,22.51824450562422
66,6,45.47065979661934
37,10,73.43299512421552
47,5,47.77794706206906
61,9,69.79207778675533
45,10,70.95321642877957
57,6,52.62845207792736
56,3,28.365083949637885
49,4,29.484796069473802
48,10,62.06073067865839
55,7,56.35713677515148
48,1,16.101328021500176
45,7,46.09716304249798
52,6,39.3798049875616
49,4,28.837359714522975
46,3,19.578316677414584
43,7,51.66152365291519
69,9,66.33797241004115
39,1,17.49791915523906
57,5,31.509196220697532
50,5,31.781855502827376
45,7,58.52684973698697
62,10,69.67034177235941
55,7,53.59438177578481
53,2,24.783136155493303
57,8,59.33031153129865
53,9,73.92964732891718
49,10,81.58710718230597
47,5,41.50304421980023
57,8,63.82083574204406
64,6,48.727221214445635
51,7,53.65903054580578
57,3,32.40596240394152
49,10,70.72588107623028
50,1,21.0
62,8,57.04770171333137
48,3,27.850233492850645
54,7,49.982783599109396
53,3,29.862118605799814
53,0,9.5
57,7,45.492162281052956
47,1,15.904459865506729
56,8,52.71741735468314
62,9,66.4491457125955
62,0,18.5
48,6,33.971526363641686
57,3,26.17676443250688
58,4,32.92255532470095
61,10,70.54451928702419
38,1,18.851801732007857
56,7,41.79995242344013
42,6,42.520228460624814
70,2,22.526580774802156
46,4,30.336750520670535
60,9,69.35183678508406
60,0,18.5
62,1,8.148198267992143
31,2,11.520542444518819
31,0,8.0
51,9,63.45139095277135
47,4,36.76952197800557
47,0,11.0
51,7,42.670073855366006
36,8,64.27104212510739
36,0,17.0
67,1,8.764277879331722
55,6,39.501389970696536
43,5,39.78646578761212
51,6,47.23299232212931
60,10,66.23539266586033
55,9,70.34283830033084
62,5,43.77502644680058
70,7,57.38922070678795
56,3,30.58950616433399
56,10,72.45190105497882
46,6,50.298176763840786
61,3,30.78380409785071
49,1,10.30016650016848
49,0,6.5
63,2,15.076181145240085
48,6,36.01156247831421
53,2,21.395706634661753
53,0,8.0
74,7,43.52047348019359
53,8,68.7333863454528
32,6,50.31506597947413
63,2,26.488675951382987
55,8,47.293706705784544
55,0,17.0
55,4,24.2862907416079
42,7,45.7369241541901
54,2,25.706972389368268
44,6,44.13273134447323
49,2,21.779841149783316
37,1,6.713320135659531
52,8,46.40074274674538
52,0,17.0
48,5,29.207591709513284
47,2,18.308919731013457
63,4,32.61677695478924
52,10,67.98354689372422
63,9,68.11347042553615
53,2,27.07521478410811
53,0,8.0
54,9,54.90198770313058
53,1,20.095540134493273
53,0,6.5
38,4,23.45526341711465
43,9,55.482918896030064
49,9,69.11064374549274
51,7,60.65678394239763
51,0,15.5
68,6,34.8295636919724
53,2,19.054944324944124
53,0,8.0
63,4,25.30132187133559
49,10,63.85995819171063
51,8,59.4135780440254
61,8,68.80619840453548
49,1,17.80016650016848
68,2,18.213660109836137
51,2,18.327058930266617
36,5,31.073774552829732
41,7,47.632152251461
54,1,17.289501280899614
45,2,11.000529501364262
51,10,65.08232431108652
47,6,50.90345575399938
50,2,22.687596021000033
47,5,34.70130543986741
63,3,23.790012967308286
52,9,57.280374247496994
56,6,52.036998677103206
51,8,67.09495653454442
42,2,24.0
53,3,21.211405619371707
55,1,11.479674649614836
51,2,14.098505478331344
57,7,44.669171568780676
43,3,25.776151194540013
60,4,25.69388785180204
64,9,67.84303241911482
41,9,73.15309237433567
41,0,18.5
55,10,61.96473643661364
36,7,57.69403105792177
40,8,58.207822561438576
40,0,17.0
71,4,27.82548667070399
46,7,45.17589217079753
55,1,17.479674649614836
67,2,18.550957743672193
71,7,50.673474564368966
73,9,70.46161939083974
33,5,34.470963641509904
54,9,65.38434703745486
45,4,33.908893095510166
63,6,47.204355308806704
62,3,28.948364768160623
55,6,45.03890600057033
55,0,14.0
62,5,31.561839580028792
74,4,35.456746410077045
81,5,36.73470440030795
65,5,40.01462604411792
54,6,42.74722847776986
47,3,25.896511052427478
56,4,24.30966031179329
69,1,14.959132205096017
79,5,36.77053628263114
45,9,65.62883890304212
57,6,53.002525145597886
25,8,54.82763668181693
44,4,32.86386405595758
56,7,44.68855967127916
40,8,60.562301557516214
49,8,56.44827457799272
28,10,77.92466582574477
66,4,44.43806907561566
56,10,67.99351166789162
43,6,56.865827461275266
38,5,36.88220176903092
54,5,40.99450504548189
44,2,20.482947818185778
41,1,7.312403978999968
58,2,18.56120244182995
44,4,22.103073471657943
37,5,32.88969387513776
60,3,29.434736628539895
73,6,45.904420015558344
55,2,21.19017336871522
40,4,26.88116806342686
46,10,63.317405603811885
41,8,65.65123377026126
52,1,18.398671978499824
50,3,19.15319322913693
53,3,20.267396855838395
39,10,60.36584295133455
46,8,58.346545358594625
40,10,73.00968234891201
49,3,32.619914772629514
52,5,33.521720384139186
52,0,12.5
52,4,26.966406391228876
30,1,8.95362337617694
58,9,66.04017205714993
55,8,63.193864236444284
55,0,17.0
49,1,5.80016650016848
62,6,44.495700534451544
45,4,35.09296278677808
66,9,66.29034294774226
73,9,71.78124938312132
48,5,42.94562110095394
53,2,22.38221999883374
56,2,19.436266761687513
57,6,40.908180027360636
53,1,15.595540134493273
55,1,8.479674649614836
56,6,42.56708114453705
60,5,39.60398659872922
48,8,62.55452280120289
45,6,44.5534292872265
46,3,24.6465762907942
46,0,9.5
46,0,5.0
59,4,27.232931698176884
58,2,18.17429367167557
55,9,54.47233449238397
57,1,20.84550217734533
46,4,25.808426959032317
43,8,51.51215923391178
61,8,66.34768273636516
61,0,17.0
57,9,59.71557225568493
42,5,47.76058446065704
48,7,50.15741725558385
56,7,57.713812462007226
45,1,15.520325350385164
50,3,18.601905259899585
44,6,35.10349287035317
59,2,24.03309819834536
59,0,8.0
49,3,18.11465132392939
48,7,42.393773670773406
56,5,38.76334682192666
51,3,26.298917343171958
55,9,72.54577610589394
61,8,71.24323952974599
59,4,37.3363059566478
40,5,37.90790635704853
44,4,26.854243914603362
50,3,25.02079996052825
56,4,29.021866592137947
64,3,26.220602952475204
72,4,32.77982121727583
54,7,45.60121749941409
55,1,17.479674649614836
54,10,60.44032982752445
52,10,79.91580431137265
54,5,50.03403441097359
54,0,12.5
53,9,59.56810291491239
63,10,81.88884681663588
58,3,36.86055815873853
48,7,49.29529882788555
48,1,16.101328021500176
47,10,62.287606481256944
63,4,43.28126591661171
60,7,48.20274305070282
35,8,67.03556572920337
64,1,20.417471108468654
58,1,9.0197958490209
58,0,6.5
64,3,20.746143888487794
62,9,69.57551982418049
64,8,58.375070550128065
71,8,61.143678536710866
41,6,45.565402972747286
44,7,53.5397918693479
56,6,44.134088555155074
60,1,16.84846862904004
54,3,20.289501280899614
56,8,62.265295452966356
52,2,24.198838478668304
62,7,48.72943222598477
59,7,48.57719364907508
59,4,38.98505050008577
56,7,53.19891513823098
56,0,15.5
45,1,5.020325350385163
45,0,6.5
63,8,53.95840114407383
41,4,33.144019419097084
47,4,31.4466012857213
54,2,17.101905259899585
48,6,45.46557997773732
64,3,31.239402082444037
79,5,40.675515142364915
49,9,61.14237367180382
61,1,21.50208084476094
56,4,31.599056594460976
56,10,71.00345022480091
36,5,44.13491087572329
68,10,79.61744533179062
52,2,28.563922428306185
61,4,27.589667781068094
52,2,19.18817325939944
52,7,49.72150278593617
44,1,15.334749550193637
49,5,34.33148473052148
52,7,49.693446537286164
45,1,15.520325350385164
55,5,34.41773179948728
51,9,60.73701573471091
61,3,36.16935151537581
49,3,17.249208756496287
49,10,71.47576422245552
51,7,63.813765012193386
57,7,54.94871070273962
40,1,14.651531370959962
43,10,55.769098422007566
62,9,67.3817831300844
32,6,48.18195034046091
64,7,58.753340183823916
40,2,20.851364870791482
52,10,72.20167921373684
60,9,65.05893522746298
60,0,18.5
63,5,28.683139918924645
54,2,23.053779160231336
56,6,45.046338739800916
58,3,32.4940717343614
52,1,10.898671978499824
50,9,61.00640186350351
50,0,18.5
61,9,65.129364575268
73,7,58.63281219855125
66,5,48.340969422547424
45,5,35.35781314390746
41,9,59.95819645354693
52,3,30.578709629310445
58,1,12.0197958490209
59,1,9.187596021000031
53,4,30.68443807291398
53,0,11.0
53,0,5.0
36,6,35.25230653570968
50,8,62.407677692530356
60,9,76.86721061902438
45,4,32.99343292028703
34,9,59.04028663719188
56,3,28.779152462911885
56,0,9.5
52,8,51.67447677192858
66,10,75.12183649148886
52,2,26.418997328884988
41,1,7.312403978999968
41,0,6.5
50,5,32.59637116178246
57,4,32.587497108426106
50,10,66.66324917731582
61,2,26.042948639664925
52,2,16.918467827520722
73,8,58.4109407149691
48,7,54.120978789131996
48,0,15.5
45,3,18.0
62,5,38.397724557484466
52,4,29.212325114496316
43,7,43.447105952633734
54,9,68.33369205910358
47,2,23.92478521589189
44,5,34.62633167585419
48,4,32.48294781818578
45,2,16.62165337188534
53,5,39.677732191404026
59,6,43.05310717187527
58,5,43.22875997860446
61,5,39.130251147345945
56,10,70.49942780910155
57,7,68.10091948667693
49,4,37.976291918068455
48,10,75.15434158103271
60,1,22.84846862904004
30,10,59.797661141796326
30,0,20.0
51,9,60.64732334192557
53,7,58.094655635416146
53,0,15.5
60,9,59.562921454304664
45,2,25.86582752773049
45,0,8.0
50,7,45.45703928887364
50,7,49.62907235696818
63,6,53.83684430794513
40,3,21.044631290910026
65,9,61.011827589897436
47,6,47.805846733748616
58,8,59.72475832045965
51,3,34.74251015414161
56,8,50.46732461445468
27,6,46.62762258211917
43,3,27.30313295186319
44,6,41.10666037457194
40,5,39.519072402622726
40,0,12.5
47,2,11.204626365675209
33,8,41.66990190759909
55,10,77.21703679023543
46,2,28.212579563861325
46,0,8.0
42,7,42.54070606843464
47,7,54.90441046874757
45,4,28.07037093882237
72,7,53.026834070605005
50,1,16.5
48,1,7.101328021500177
55,1,8.479674649614836
50,9,59.114443522665844
53,3,34.71284474279345
58,6,45.64061488235046
41,5,40.848468629040035
41,0,12.5
39,1,3.9979191552390585
42,9,50.573642330623265
57,3,32.93944290164525
55,10,69.0713651070033
66,7,62.52111230797913
56,7,48.172587884797814
59,3,30.768598692115045
67,5,39.2190296100377
57,2,20.84550217734533
61,9,63.1506231110033
61,0,18.5
59,1,7.687596021000031
64,7,53.08900841880898
48,2,23.78892404250021
37,10,63.17005986141523
51,6,55.44382083996539
51,0,14.0
52,5,27.946277868751697
36,7,50.15135237731467
54,8,56.292825038277144
71,2,28.472727607780428
67,8,56.64844984210603
44,2,25.49089663126503
64,4,29.3978893361761
55,1,12.979674649614836
59,2,16.53309819834536
51,10,63.57647907309246
41,1,19.312403978999967
62,5,30.502384555342772
63,8,63.10959203712282
68,7,52.05599234432333
68,0,15.5
56,9,60.183858921808614
56,0,18.5
64,10,67.94091357154113
51,8,63.969394485004294
44,2,24.0
56,9,56.012312379193084
56,0,18.5
62,6,42.73709620641285
26,2,18.260921706444652
50,5,35.37255874110775
56,1,14.665250449806363
31,8,47.11376558476885
58,5,40.028406669879466
38,3,26.179945010662735
41,1,8.812403978999967
55,1,8.479674649614836
56,1,8.665250449806363
45,4,19.621044012808497
44,1,10.834749550193637
44,0,6.5
59,10,71.78548970644229
59,0,20.0
49,7,37.53395910165219
41,10,72.01725957984694
31,3,28.280077210604347
49,9,65.99226328485437
64,8,64.97441860792432
62,10,87.207771557893
46,9,65.11525530931048
74,1,22.83461842804862
55,9,66.52197245056345
39,1,17.49791915523906
41,6,35.026690475791476
38,4,28.565121867667393
63,10,70.26528016499749
38,2,23.00333310296782
43,2,13.255825844154849
33,5,34.261689778375676
50,3,25.03939775300789
49,8,48.324915291593285
54,9,67.00746915184766
62,10,78.91642024652431
51,3,35.00208084476094
58,7,52.43165079011133
58,1,18.019795849020902
33,1,4.735722120668277
70,2,16.147704645323234
58,2,18.20739187002093
69,5,40.585996014145024
59,10,75.3048653869705
53,5,46.486707310654566
63,6,45.1086699845086
49,2,23.456313581239876
49,0,8.0
55,2,12.979674649614836
46,2,16.058967348140424
62,8,59.18535541406761
57,10,75.44050503018005
38,3,30.666225931816335
58,4,27.64196583535321
52,5,37.97097975302083
37,5,36.30537602216629
54,4,37.64624017741724
49,10,70.52012786724006
40,5,39.6595404813595
46,10,62.599123612082195
48,10,84.76949153127543
59,5,49.30264312134661
70,3,28.36612489628409
45,8,52.37149159401401
30,6,46.14824735401065
61,9,67.80789896485541
38,2,25.5
38,0,8.0
44,5,29.892131565464894
48,9,61.78528849672972
45,7,53.80090427926368
56,5,42.62255190268511
59,5,40.37379895772462
54,8,51.58428182862747
42,3,28.87987115064214
36,1,8.082528891531346
37,8,50.364482036632296
35,5,38.28931233291633
66,4,33.856417442119294
45,2,14.25604747105344
65,2,15.25391594520868
60,3,23.556390000425232
60,0,9.5
45,6,31.719099301634444
44,9,66.43090784359292
39,8,68.5995246032658
47,8,61.06464647480131
49,2,25.80224734492942
70,6,46.00362399112592
57,6,48.81243376922477
63,10,70.0955329566834
51,2,28.54533567717685
38,10,58.85004068246726
59,3,30.851801732007857
71,6,44.934614999298866
39,7,55.54145629876321
61,2,26.35054947380098
48,8,54.487263230048285
50,10,87.07368188889318
62,3,32.541742315442896
61,1,12.502080844760942
35,10,51.571664951913036
52,9,75.77282844616302
64,2,26.571968931123322
55,2,14.634172472269508
53,1,9.595540134493273
53,0,6.5
49,4,27.87651923923221
41,4,28.00146286408622
52,3,22.11553582300652
43,2,14.95466432282315
36,9,51.75326235116131
51,4,39.242203833170294
51,0,11.0
46,1,5.210498719100384
46,0,6.5
46,9,53.03958227073338
46,0,18.5
50,3,17.210498719100386
49,7,47.247302243027015
57,8,59.964794333303416
46,5,45.363030333446495
40,10,68.58212159618475
55,7,62.40105242818722
59,1,18.187596021000033
47,3,21.04938496492793
54,7,47.93606013189536
34,6,42.30817737286805
52,5,41.476853214302636
56,7,55.176017949000425
56,0,15.5
61,10,68.47402108465702
56,8,64.30662027731796
42,8,67.7058199687726
53,3,28.946905005284755
55,10,57.79043168693692
33,2,24.435555620499798
52,4,32.3934133704835
52,0,11.0
40,6,38.08879832844951
59,9,69.79540453240622
38,4,38.14925621109359
55,8,60.068336818182964
62,7,60.12745649596414
72,1,19.701996087042517
70,5,34.799012058931964
57,3,29.5127728479602
55,6,41.822884911765286
45,8,56.21260884631714
74,2,28.854414277069523
47,7,49.87374150942072
66,8,62.92568917056969
66,0,17.0
66,0,5.0
60,5,34.963384412183274
40,6,39.24966055824089
73,3,32.331623258459274
60,10,65.4803373185324
57,8,65.67774167621388
65,1,20.54059580954915
50,4,21.164699333676733
48,1,11.601328021500176
34,5,32.76279535659241
49,10,75.44342915496436
68,6,54.88202087812229
44,7,59.83559480997272
44,5,48.03971330106414
53,7,52.54356226124386
63,2,22.369208755871814
54,5,33.692964427354276
42,8,62.63598758207267
49,5,42.89867310510951
54,8,63.93848685116986
49,6,51.07063739718625
49,1,14.80016650016848
46,9,64.50410703875593
43,4,35.99716890470878
45,7,51.11325169714979
69,2,28.324323685892118
60,4,34.263914415375936
56,4,31.657752838602576
36,2,15.382695391699826
41,9,52.649295066432046
51,5,46.21058612698321
55,5,36.92701651611596
33,5,35.71474928311123
58,1,15.0197958490209
53,8,57.64713426821299
54,2,23.101905259899585
54,0,8.0
50,7,49.01673579602759
46,2,22.69017336871522
45,3,20.40445986550673
52,6,46.167107337216066
51,5,42.01209708144675
58,2,17.68517742097228
58,0,8.0
59,7,47.93125850918956
53,9,73.19329315653872
56,10,67.87764054395899
72,2,32.74259189659167
52,3,23.353423709205803
45,2,17.207921371385194
25,8,56.338521521704195
58,5,45.492078447937814
52,3,24.974416263972195
50,10,73.14635789696663
56,8,69.79777092773234
53,3,31.151541030938986
44,1,9.334749550193637
42,3,17.39920147986409
57,7,52.76436528721455
57,0,15.5
46,7,43.50030984374383
52,7,58.730324339593025
52,0,15.5
52,0,5.0
45,7,35.47105021527266
45,0,15.5
52,3,18.19983349983152
65,9,68.36285635931561
33,6,52.098583130248834
52,8,65.83765767387004
56,9,68.79853842299875
40,3,31.395705526805113
44,9,61.41834994941881
63,2,27.58684636450895
63,0,8.0
45,6,36.39833231606081
54,2,19.641303012907475
65,5,30.948514602816868
41,2,19.96060224699211
60,6,43.09363891390505
35,4,24.694208850076098
52,4,29.467631338190937
49,5,32.665906620016145
47,5,35.34765508863488
33,1,10.735722120668278
54,5,37.60573563473828
44,8,58.01295061900949
44,0,17.0
67,3,23.24137518123137
35,2,12.613902013105522
55,4,29.998473779583666
60,6,46.797379672646485
38,8,64.3062134167537
38,0,17.0
44,8,49.30781633764257
55,5,45.42368341314815
55,8,58.006871338380314
56,5,40.963336105213905
48,8,52.20065500444943
61,5,44.87926017040096
62,6,41.66450059518101
39,5,34.05807300218099
46,1,12.710498719100384
46,0,6.5
39,1,3.9979191552390585
39,0,6.5
42,5,25.340922075097524
58,1,15.0197958490209
50,3,20.081002671115016
57,5,38.79766855581408
55,2,19.884134515121566
53,5,36.2393823978581
31,10,61.88297214447075
50,8,67.89600816900573
60,7,57.539798710400405
71,4,33.284382275956524
56,9,67.46230291326867
66,4,48.32483165438804
53,2,17.430289684686908
55,5,33.86753750031992
61,4,32.59074634016326
42,7,48.78148205930126
67,3,31.09647770735259
58,2,20.978928054116917
58,0,8.0
58,0,5.0
49,10,64.94003402411381
54,8,73.49012567113333
69,2,29.499728014645164
40,3,19.954227461606774
39,7,56.20387041357406
39,4,30.21123929089859
39,0,11.0
42,4,21.637947826618557
69,9,72.55956114401044
58,10,80.02766086100692
61,3,34.808119698354595
57,7,45.47294343623758
39,6,44.98130383464122
44,1,13.834749550193637
45,4,19.02454406028675
47,3,26.772724343567667
54,4,29.275243581259623
47,5,33.619856635789844
61,5,37.01614584559805
74,2,21.669367978242256
58,2,15.354545399214537
58,8,58.39321163177191
55,9,65.40330066574882
64,9,70.15948466632227
39,10,70.77733089974662
48,5,43.33178309849893
47,2,20.90654071026767
42,9,57.14818107663651
69,1,22.45913220509602
57,6,40.01535019567539
52,1,15.398671978499824
71,2,19.586357635531115
71,0,8.0
50,5,29.42384648148564
45,4,31.83097025411123
67,1,14.764277879331722
61,6,41.93051547402067
60,3,29.615352644359607
57,2,16.680251727538966
37,2,14.861518403651674
49,6,41.9782576095142
49,0,14.0
50,1,6.0
53,4,29.366556446374425
56,10,69.70804283457781
51,9,74.85932878734994
37,8,57.78050286582108
53,1,18.595540134493273
39,6,35.37997703573704
51,4,34.54533567717685
53,1,12.595540134493273
45,9,55.78213810601241
56,10,73.5693187242208
72,10,73.34527877168091
35,8,62.01677558396571
35,0,17.0
68,3,24.562128738876176
39,5,29.62699151220724
51,9,62.455222141536815
56,3,33.395545017927645
32,9,57.534819739935436
60,8,66.2875568072867
53,5,48.65935950164905
60,1,15.348468629040038
57,2,16.84758302210627
61,7,50.29152442325581
47,4,33.59723755664744
61,3,29.63426288644674
78,7,55.17753222891547
64,9,69.77345168937157
43,5,42.64708974046609
74,6,50.95279042741698
50,9,65.26352368670265
60,10,85.76513250531406
25,8,66.54397908286398
52,10,69.71650574589312
56,4,43.1615434075604
48,4,29.052157183033394
48,1,11.601328021500176
52,1,7.898671978499824
52,0,6.5
50,8,41.8477066811565
53,10,72.21445706146102
57,6,48.252858284603505
58,3,29.564091628083016
63,1,12.786679864340469
66,8,54.795897373569495
56,8,73.42434937432336
79,5,41.66745825396653
68,3,27.966519502296276
49,10,67.16051634359692
25,9,74.71186283356266
48,7,61.647563833173166
52,2,24.418467827520722
62,1,11.148198267992143
38,9,58.529075974114235
46,8,64.03587543408815
42,9,69.67516743729323
41,4,39.85987442764007
50,1,12.0
58,7,49.58048892315595
58,0,15.5
58,0,5.0
56,8,51.35507894355347
64,2,24.415390263707714
53,1,9.595540134493273
55,1,8.479674649614836
63,8,54.095064573249495
59,7,57.00885893536566
39,1,14.497919155239058
56,8,44.70868345884269
23,1,14.503786848455972
50,4,31.611860901437993
43,9,62.85464542375181
66,8,66.11089881177737
47,4,29.44978588415322
40,10,65.76090426674702
57,5,52.27322024704831
57,8,62.040134158693874
37,9,72.75960588189648
58,3,30.710498719100386
41,5,30.525724114659496
55,8,58.2729886772811
55,0,17.0
35,2,12.730420502332002
51,1,9.19983349983152
40,10,59.83961154718174
48,7,57.91788343959698
62,10,76.71859152622534
54,7,56.91047184807243
60,10,83.49319798306729
49,5,43.80595438717538
38,4,31.093010544014938
60,6,45.63218202293275
61,3,30.6011082742863
64,8,55.79151721433284
54,6,52.79743247273911
45,1,14.020325350385164
40,10,63.524012240779754
52,8,74.44695205568665
52,0,17.0
60,10,66.50126909290172
37,4,38.8286561191737
49,9,62.31034076231108
49,0,18.5
64,9,55.837795858022915
40,2,22.486280921153597
55,1,9.979674649614836
55,0,6.5
55,0,5.0
65,3,24.172777851234947
51,3,26.5503829736325
55,1,11.479674649614836
52,10,62.617127382862634
44,4,39.888173098924156
61,9,59.36873698430925
66,3,34.93598823085471
37,3,23.902997001420502
31,10,70.59716515373267
43,2,24.13470197363377
40,5,28.377593360511938
48,6,45.17305855762178
56,2,19.118873825983304
46,3,18.99791915523906
55,3,21.524922918908857
40,1,8.651531370959962
55,2,13.5
